Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2025.10.05_10.40.16	-43.37271	-21.77516	Vivo	5G	-66	0	906	
2025.10.05_10.41.02	-43.37271	-21.77516	Vivo	4G	-73	0	906	
2025.10.05_10.41.05	-43.37271	-21.77516	Vivo	5G	-74	0	906	
2025.10.05_10.41.46	-43.37271	-21.77516	Vivo	5G	-74	0	906	 
2025.10.05_10.42.54	-43.37274	-21.77507	Vivo	5G	-74	4	906	
2025.10.05_10.43.15	-43.37274	-21.77507	Vivo	5G	-74	0	906	
2025.10.05_10.43.26	-43.37274	-21.77507	Vivo	5G	-74	0	906	 
2025.10.05_10.44.11	-43.37274	-21.77507	Vivo	5G	-74	0	906	
2025.10.05_10.44.24	-43.37274	-21.77507	Vivo	5G	-74	0	906	
2025.10.05_10.46.47	-43.37277	-21.77499	Vivo	5G	-79	4	907	
2025.10.05_10.46.55	-43.37282	-21.77490	Vivo	5G	-75	4	905	
2025.10.05_10.47.01	-43.37282	-21.77490	Vivo	5G	-75	4	905	
2025.10.05_10.47.03	-43.37287	-21.77482	Vivo	5G	-75	4	903	
2025.10.05_10.47.11	-43.37293	-21.77474	Vivo	5G	-65	5	902	
2025.10.05_10.47.18	-43.37298	-21.77466	Vivo	5G	-67	5	901	
2025.10.05_10.47.25	-43.37303	-21.77458	Vivo	5G	-67	5	900	
2025.10.05_10.47.32	-43.37308	-21.77450	Vivo	5G	-81	5	899	
2025.10.05_10.47.49	-43.37308	-21.77450	Vivo	4G	-80	0	899	
2025.10.05_10.47.52	-43.37308	-21.77450	Vivo	5G	-80	0	899	
2025.10.05_10.48.01	-43.37308	-21.77450	Vivo	4G	-80	0	899	
2025.10.05_10.48.04	-43.37308	-21.77450	Vivo	5G	-77	0	899	
2025.10.05_10.48.17	-43.37308	-21.77450	Vivo	5G	-80	0	899	
2025.10.05_10.48.37	-43.37308	-21.77450	Vivo	5G	-80	0	899	
2025.10.05_10.48.50	-43.37308	-21.77450	Vivo	4G	-78	0	899	
2025.10.05_10.48.52	-43.37308	-21.77450	Vivo	5G	-81	0	899	
2025.10.05_10.49.09	-43.37316	-21.77445	Vivo	5G	-75	4	898	
2025.10.05_10.49.17	-43.37321	-21.77435	Vivo	5G	-77	4	895	
2025.10.05_10.49.26	-43.37325	-21.77427	Vivo	5G	-77	3	894	
2025.10.05_10.49.35	-43.37329	-21.77418	Vivo	5G	-77	3	892	
2025.10.05_10.49.45	-43.37333	-21.77409	Vivo	5G	-77	4	890	
2025.10.05_10.49.54	-43.37338	-21.77401	Vivo	5G	-77	4	888	
2025.10.05_10.50.49	-43.37338	-21.77401	Vivo	4G	-75	0	888	
2025.10.05_10.50.52	-43.37338	-21.77401	Vivo	5G	-62	0	888	
2025.10.05_10.51.15	-43.37338	-21.77401	Vivo	5G	-62	0	888	
2025.10.05_10.51.25	-43.37338	-21.77401	Vivo	4G	-73	0	888	
2025.10.05_10.51.33	-43.37338	-21.77401	Vivo	5G	-60	0	888	
2025.10.05_10.51.42	-43.37338	-21.77401	Vivo	4G	-72	0	888	
2025.10.05_10.51.50	-43.37340	-21.77392	Vivo	4G	-76	4	886	
2025.10.05_10.51.52	-43.37340	-21.77392	Vivo	5G	-66	4	886	
2025.10.05_10.51.58	-43.37336	-21.77385	Vivo	5G	-71	4	885	
2025.10.05_10.52.07	-43.37330	-21.77377	Vivo	5G	-82	4	883	
2025.10.05_10.52.22	-43.37322	-21.77371	Vivo	5G	-82	3	882	
2025.10.05_10.52.34	-43.37315	-21.77365	Vivo	5G	-90	3	882	
2025.10.05_10.52.52	-43.37307	-21.77358	Vivo	5G	-90	3	880	
2025.10.05_10.53.47	-43.37307	-21.77358	Vivo	4G	-78	0	880	
2025.10.05_10.53.51	-43.37307	-21.77358	Vivo	5G	-80	0	880	
2025.10.05_10.54.01	-43.37307	-21.77358	Vivo	4G	-81	0	880	
2025.10.05_10.54.04	-43.37307	-21.77358	Vivo	5G	-82	0	880	
2025.10.05_10.54.08	-43.37307	-21.77358	Vivo	5G	-82	0	880	 
2025.10.05_10.54.21	-43.37297	-21.77354	Vivo	5G	-82	4	880	
2025.10.05_10.54.29	-43.37290	-21.77347	Vivo	5G	-75	5	879	
2025.10.05_10.54.37	-43.37282	-21.77340	Vivo	5G	-73	4	878	
2025.10.05_10.54.45	-43.37277	-21.77333	Vivo	5G	-73	4	878	
2025.10.05_10.54.53	-43.37271	-21.77326	Vivo	5G	-73	4	876	
2025.10.05_10.55.20	-43.37271	-21.77326	Vivo	4G	-79	0	876	
2025.10.05_10.55.32	-43.37271	-21.77326	Vivo	5G	-77	0	876	
2025.10.05_10.55.42	-43.37271	-21.77326	Vivo	4G	-79	0	876	
2025.10.05_10.55.46	-43.37271	-21.77326	Vivo	5G	-79	0	876	
2025.10.05_10.55.46	-43.37271	-21.77326	Vivo	5G	-79	0	876	
2025.10.05_10.56.01	-43.37271	-21.77326	Vivo	4G	-78	0	876	
2025.10.05_10.56.06	-43.37264	-21.77319	Vivo	4G	-78	3	875	
2025.10.05_10.56.06	-43.37264	-21.77319	Vivo	5G	-78	3	875	
2025.10.05_10.56.19	-43.37257	-21.77311	Vivo	5G	-78	5	873	
2025.10.05_10.56.27	-43.37252	-21.77303	Vivo	5G	-81	4	872	
2025.10.05_10.56.31	-43.37252	-21.77303	Vivo	5G	-85	4	872	
2025.10.05_10.56.32	-43.37252	-21.77303	Vivo	5G	-85	4	872	
2025.10.05_10.56.36	-43.37246	-21.77295	Vivo	5G	-85	4	871	
2025.10.05_10.56.47	-43.37240	-21.77287	Vivo	5G	-94	3	869	
2025.10.05_10.56.48	-43.37240	-21.77287	Vivo	4G	-85	3	869	
2025.10.05_10.56.51	-43.37240	-21.77287	Vivo	5G	-94	3	869	
2025.10.05_10.56.59	-43.37234	-21.77279	Vivo	5G	-94	2	867	
2025.10.05_10.57.12	-43.37227	-21.77272	Vivo	5G	-90	3	866	
2025.10.05_10.57.18	-43.37227	-21.77272	Vivo	5G	-90	3	866	
2025.10.05_10.57.23	-43.37221	-21.77264	Vivo	5G	-90	3	862	
2025.10.05_10.57.28	-43.37221	-21.77264	Vivo	4G	-90	3	862	
2025.10.05_10.57.33	-43.37216	-21.77256	Vivo	5G	-84	4	861	
2025.10.05_10.57.33	-43.37216	-21.77256	Vivo	5G	-84	4	861	
2025.10.05_10.57.42	-43.37216	-21.77256	Vivo	4G	-94	4	861	
2025.10.05_10.58.54	-43.37241	-21.77293	Vivo	5G	-93	0	870	
2025.10.05_10.58.54	-43.37241	-21.77293	Vivo	5G	-93	0	870	
2025.10.05_10.59.00	-43.37241	-21.77293	Vivo	4G	-87	0	870	
2025.10.05_10.59.05	-43.37241	-21.77293	Vivo	5G	-92	0	870	
2025.10.05_10.59.09	-43.37247	-21.77300	Vivo	5G	-92	1	872	
2025.10.05_10.59.21	-43.37251	-21.77309	Vivo	5G	-89	3	874	
2025.10.05_10.59.31	-43.37250	-21.77318	Vivo	5G	-89	3	876	
2025.10.05_10.59.40	-43.37250	-21.77318	Vivo	4G	-74	3	876	
2025.10.05_10.59.42	-43.37242	-21.77324	Vivo	4G	-74	4	877	
2025.10.05_10.59.51	-43.37235	-21.77331	Vivo	4G	-86	4	877	
2025.10.05_10.59.52	-43.37235	-21.77331	Vivo	5G	-84	4	877	
2025.10.05_10.59.59	-43.37229	-21.77338	Vivo	5G	-93	4	877	
2025.10.05_11.00.10	-43.37221	-21.77345	Vivo	5G	-93	4	877	
2025.10.05_11.00.22	-43.37221	-21.77345	Vivo	4G	-95	0	877	
2025.10.05_11.00.30	-43.37221	-21.77345	Vivo	5G	-92	0	877	
2025.10.05_11.00.44	-43.37221	-21.77345	Vivo	4G	-94	0	877	
2025.10.05_11.00.52	-43.37221	-21.77345	Vivo	5G	-93	0	877	
2025.10.05_11.00.56	-43.37221	-21.77345	Vivo	5G	-93	0	877	 
2025.10.05_11.01.01	-43.37221	-21.77345	Vivo	4G	-93	0	877	
2025.10.05_11.01.04	-43.37215	-21.77353	Vivo	4G	-95	4	878	
2025.10.05_11.01.08	-43.37215	-21.77353	Vivo	5G	-95	4	878	
2025.10.05_11.01.13	-43.37207	-21.77359	Vivo	5G	-95	3	879	
2025.10.05_11.01.22	-43.37201	-21.77367	Vivo	5G	-90	4	881	
2025.10.05_11.01.31	-43.37195	-21.77374	Vivo	5G	-91	4	882	
2025.10.05_11.01.34	-43.37195	-21.77374	Vivo	5G	-87	4	882	
2025.10.05_11.01.40	-43.37188	-21.77382	Vivo	5G	-87	4	882	
2025.10.05_11.02.15	-43.37176	-21.77402	Vivo	5G	-73	0	881	
2025.10.05_11.02.16	-43.37177	-21.77406	Vivo	5G	-73	0	881	
2025.10.05_11.02.27	-43.37177	-21.77406	Vivo	4G	-82	0	881	
2025.10.05_11.02.32	-43.37177	-21.77406	Vivo	5G	-81	0	881	
2025.10.05_11.03.02	-43.37177	-21.77406	Vivo	5G	-81	0	881	
2025.10.05_11.03.04	-43.37177	-21.77406	Vivo	4G	-84	0	881	
2025.10.05_11.03.09	-43.37180	-21.77415	Vivo	5G	-80	4	884	
2025.10.05_11.03.09	-43.37180	-21.77415	Vivo	5G	-80	4	884	
2025.10.05_11.03.18	-43.37185	-21.77423	Vivo	5G	-80	4	886	
2025.10.05_11.03.20	-43.37185	-21.77423	Vivo	4G	-86	4	886	
2025.10.05_11.03.27	-43.37192	-21.77430	Vivo	4G	-86	4	888	
2025.10.05_11.03.30	-43.37192	-21.77430	Vivo	5G	-82	4	888	
2025.10.05_11.03.36	-43.37198	-21.77438	Vivo	5G	-82	4	889	
2025.10.05_11.03.43	-43.37198	-21.77438	Vivo	4G	-76	4	889	
2025.10.05_11.03.44	-43.37205	-21.77445	Vivo	4G	-76	4	892	
2025.10.05_11.03.52	-43.37205	-21.77445	Vivo	5G	-75	4	892	
2025.10.05_11.04.01	-43.37205	-21.77445	Vivo	4G	-79	0	892	
2025.10.05_11.04.04	-43.37205	-21.77445	Vivo	5G	-84	0	892	
2025.10.05_11.04.29	-43.37205	-21.77445	Vivo	4G	-74	0	892	
2025.10.05_11.04.31	-43.37205	-21.77445	Vivo	5G	-84	0	892	
2025.10.05_11.04.34	-43.37205	-21.77445	Vivo	5G	-84	0	892	
2025.10.05_11.04.42	-43.37205	-21.77445	Vivo	4G	-81	0	892	
2025.10.05_11.04.51	-43.37197	-21.77439	Vivo	4G	-86	4	888	
2025.10.05_11.04.53	-43.37197	-21.77439	Vivo	5G	-86	4	888	
2025.10.05_11.04.59	-43.37191	-21.77431	Vivo	5G	-86	4	886	
2025.10.05_11.05.02	-43.37191	-21.77431	Vivo	4G	-92	4	886	
2025.10.05_11.05.05	-43.37191	-21.77431	Vivo	5G	-81	4	886	
2025.10.05_11.05.07	-43.37184	-21.77424	Vivo	5G	-81	4	884	
2025.10.05_11.05.15	-43.37178	-21.77415	Vivo	5G	-80	4	881	
2025.10.05_11.05.22	-43.37172	-21.77408	Vivo	5G	-77	4	879	
2025.10.05_11.05.26	-43.37172	-21.77408	Vivo	4G	-91	4	879	
2025.10.05_11.05.30	-43.37167	-21.77400	Vivo	4G	-91	4	877	
2025.10.05_11.05.33	-43.37167	-21.77400	Vivo	5G	-78	4	877	
2025.10.05_11.05.39	-43.37160	-21.77392	Vivo	5G	-78	4	875	
2025.10.05_11.05.45	-43.37160	-21.77392	Vivo	4G	-87	4	875	
2025.10.05_11.05.52	-43.37160	-21.77392	Vivo	5G	-79	0	875	
2025.10.05_11.06.08	-43.37160	-21.77392	Vivo	4G	-89	0	875	
2025.10.05_11.06.10	-43.37160	-21.77392	Vivo	5G	-82	0	875	
2025.10.05_11.06.13	-43.37156	-21.77384	Vivo	5G	-82	5	872	
2025.10.05_11.06.21	-43.37156	-21.77384	Vivo	4G	-89	5	872	
2025.10.05_11.06.21	-43.37150	-21.77376	Vivo	4G	-89	4	870	
2025.10.05_11.06.27	-43.37150	-21.77376	Vivo	5G	-76	4	870	
2025.10.05_11.06.37	-43.37146	-21.77368	Vivo	5G	-76	2	867	
2025.10.05_11.06.41	-43.37146	-21.77368	Vivo	4G	-90	2	867	
2025.10.05_11.06.48	-43.37140	-21.77359	Vivo	4G	-90	4	863	
2025.10.05_11.06.52	-43.37140	-21.77359	Vivo	5G	-70	4	863	
2025.10.05_11.07.03	-43.37140	-21.77359	Vivo	4G	-87	0	863	
2025.10.05_11.07.06	-43.37134	-21.77351	Vivo	4G	-88	3	860	
2025.10.05_11.07.11	-43.37134	-21.77351	Vivo	5G	-79	3	860	
2025.10.05_11.07.15	-43.37129	-21.77342	Vivo	5G	-79	4	858	
2025.10.05_11.07.21	-43.37129	-21.77342	Vivo	4G	-88	4	858	
2025.10.05_11.07.23	-43.37123	-21.77335	Vivo	4G	-88	4	858	
2025.10.05_11.07.31	-43.37117	-21.77328	Vivo	4G	-85	4	857	
2025.10.05_11.07.32	-43.37117	-21.77328	Vivo	5G	-79	4	857	
2025.10.05_11.07.40	-43.37111	-21.77321	Vivo	5G	-79	1	857	
2025.10.05_11.07.49	-43.37111	-21.77321	Vivo	4G	-79	1	857	
2025.10.05_11.07.52	-43.37111	-21.77321	Vivo	5G	-74	0	857	
